"_id","_partitionKey","age","class_id","comment","dad","dob","email_addresses","gender","mom","name","old_class","siblings","surname","time_stamp"
"97c14afa07b8a492f7ab698c9b24ae0394fee93be4e9a937fc978d327e6c0947","students","0","AA","","0905-081-6654","2020-12-10T08:06:34.010Z","sryn.sdr@example.com","girl","024-18249917","سارینا","Next Year","","صدر","2021-09-10T08:06:34.010Z"
"97cf86e58065e2a16110000c76d395d052143b083ece73cd16a7d66699040550","students","3","AA","","043-925-53-59","2018-09-10T08:06:34.012Z","eelis.makinen@example.com","boy","06-379-972","Eelis","Next Year","","Makinen","2021-09-10T08:06:34.012Z"
"d1cbb6929481ebd37a17d73f23782a1fc8b0cba76a9300274f5d40153d5c50de","students","4","AA","","(529)-042-3093","2017-02-10T08:06:34.011Z","baris.kirac@example.com","boy","(323)-694-8932","Barış","Next Year","","Kıraç","2021-09-10T08:06:34.011Z"
"1cdb6641033b36669f7877038ef0e9e932870f47fb85585a1835ca5e0cfe1516","students","5","AA","","658-429-512","2016-07-10T08:06:34.012Z","ismael.rodriguez@example.com","boy","982-828-393","Ismael","Next Year","","Rodriguez","2021-09-10T08:06:34.012Z"
"3f6caada569ab9faa3e646006bc0db9297b88ae922a0084e77c3d2b14abbcd9c","students","4","AA","","0738-274-700","2017-02-10T08:06:34.004Z","paige.day@example.com","girl","016977 50065","Paige","Next Year","","Day","2021-09-10T08:06:34.005Z"
"196b6399857ede31671fac1e35083cac61bbb2dcc1d7545c296a7fac77f116d9","students","2","AA","","(361)-664-1610","2019-03-10T08:06:34.011Z","xenia.waardenburg@example.com","girl","(666)-021-3707","Xenia","Next Year","","Waardenburg","2021-09-10T08:06:34.011Z"
"a7e8fd77e7a5bad7004dd8da895920dcb71563f3cc1d413d235d9ecb256933f3","students","1","AA","","541-506-5242","2020-06-10T08:06:34.012Z","alexis.ennis@example.com","girl","016-709-5375","Alexis","Next Year","","Ennis","2021-09-10T08:06:34.012Z"
"e1587bf8815944832993956277c3f88a26ed6a9f23c9f5463572f8b68eb2dc82","students","2","AA","","843-483-6999","2019-08-10T08:06:34.010Z","marilou.smith@example.com","girl","197-694-9928","Marilou","Next Year","","Smith","2021-09-10T08:06:34.010Z"
"eb20330d4f7d6a9d3c8db8627099eecb739a40798a970155f84df68fa8b63402","students","4","AA","","484-588-4152","2017-05-10T08:06:34.011Z","zoe.miller@example.com","girl","061-239-4577","Zoe","Next Year","","Miller","2021-09-10T08:06:34.011Z"
"f64f0b343ee6741d75b189d9411c2ceabc159336e13c80af018fcdcc9b714e43","students","1","AA","","(66) 3196-5197","2020-01-10T08:09:35.101Z","francelina.peixoto@example.com","girl","(47) 5022-7125","Francelina","Next Year","","Peixoto","2021-09-10T08:09:35.101Z"
