_id,_partitionKey,age,class_id,comment,dad,dob,email_addresses,gender,mom,name,old_class,siblings,surname,time_stamp
ab269edf94812a211b4fe4a712f6ede8b81aa91eb19398ac1ec6040a9016be87,students,5,LL,,(378)-655-8592,2016-01-03T04:55:34.742Z,umut.abaci@example.com,boy,(320)-053-1933,Umut,Next Year,,Abacı,2021-09-03T04:55:34.742Z
97c14afa07b8a492f7ab698c9b24ae0394fee93be4e9a937fc978d327e6c0947,students,0,AA,,0905-081-6654,2020-12-10T08:06:34.010Z,sryn.sdr@example.com,girl,024-18249917,سارینا,Next Year,,صدر,2021-09-10T08:06:34.010Z
97cf86e58065e2a16110000c76d395d052143b083ece73cd16a7d66699040550,students,3,AA,,043-925-53-59,2018-09-10T08:06:34.012Z,eelis.makinen@example.com,boy,06-379-972,Eelis,Next Year,,Makinen,2021-09-10T08:06:34.012Z
d1cbb6929481ebd37a17d73f23782a1fc8b0cba76a9300274f5d40153d5c50de,students,4,AA,,(529)-042-3093,2017-02-10T08:06:34.011Z,baris.kirac@example.com,boy,(323)-694-8932,Barış,Next Year,,Kıraç,2021-09-10T08:06:34.011Z
1cdb6641033b36669f7877038ef0e9e932870f47fb85585a1835ca5e0cfe1516,students,5,AA,,658-429-512,2016-07-10T08:06:34.012Z,ismael.rodriguez@example.com,boy,982-828-393,Ismael,Next Year,,Rodriguez,2021-09-10T08:06:34.012Z
2d37bc83fe74cc8dd78aa264236e56bdfc2ab1274c7501f148f07dbc31e53895,students,2,BB,,(800)-369-5814,2019-07-10T08:06:34.013Z,vedat.kulaksizoglu@example.com,boy,(100)-559-1632,Vedat,Next Year,,Kulaksızoğlu,2021-09-10T08:06:34.013Z
0728c1624f9520ff618b44a167f79625a0705546dae95451229cb57f2068757e,students,0,CC,,(547)-069-1570,2020-12-10T08:06:34.017Z,sophia.edwards@example.com,girl,(016)-204-8679,Sophia,Next Year,,Edwards,2021-09-10T08:06:34.017Z
1e2524ebd85f8495e6df1e1128d0d50c632595ddc44e227564cc51d9bf9e0dc2,students,1,BB,,93581153,2020-03-10T08:06:34.013Z,anders.braenden@example.com,boy,78540963,Anders,Next Year,,Brænden,2021-09-10T08:06:34.013Z
3f6caada569ab9faa3e646006bc0db9297b88ae922a0084e77c3d2b14abbcd9c,students,4,AA,,0738-274-700,2017-02-10T08:06:34.004Z,paige.day@example.com,girl,016977 50065,Paige,Next Year,,Day,2021-09-10T08:06:34.005Z
7b6f0cfc6107876a37dbec2762ae5dfb7536a93229d487d4fed50da968628cdc,students,5,BB,,0177-0576000,2016-09-10T08:06:34.012Z,tim.reusch@example.com,boy,0253-8888485,Tim,Next Year,,Reusch,2021-09-10T08:06:34.012Z
48c048149972d7df217ff1b2158e1c8ce02abbacd33f170f7a5590bb3db599c7,students,1,BB,,040-926-61-47,2019-12-10T08:06:34.014Z,anton.huhtala@example.com,boy,05-466-032,Anton,Next Year,,Huhtala,2021-09-10T08:06:34.014Z
7f84efe62084a3ffccd3b29a79bfaa871954adde1859a4068df23536b2371d30,students,3,BB,,06-10-07-25-23,2018-01-10T08:06:34.015Z,marin.lucas@example.com,boy,04-56-40-85-24,Marin,Next Year,,Lucas,2021-09-10T08:06:34.015Z
196b6399857ede31671fac1e35083cac61bbb2dcc1d7545c296a7fac77f116d9,students,2,AA,,(361)-664-1610,2019-03-10T08:06:34.011Z,xenia.waardenburg@example.com,girl,(666)-021-3707,Xenia,Next Year,,Waardenburg,2021-09-10T08:06:34.011Z
97172adf2823c467ad120901477d8537a51872a2ce0d58bb95bcdb96cbe309ea,students,5,BB,,0418-908-894,2016-06-10T08:06:34.014Z,darryl.fleming@example.com,boy,08-1969-1217,Darryl,Next Year,,Fleming,2021-09-10T08:06:34.014Z
65d6d349adcdc4b42c7f8028e83af8b4d185553a079c7351a7d7091bda6c0c6e,students,1,CC,,761-026-3864,2020-09-10T08:06:34.019Z,olivier.smith@example.com,boy,746-900-9301,Olivier,Next Year,,Smith,2021-09-10T08:06:34.019Z
61761bcdec1850463a2ddc277e31520b14b2c35138731a7abfe03e8d33dc2c98,students,2,EE,,081-768-8562,2019-03-10T08:06:34.028Z,gerald.hill@example.com,boy,051-819-7908,Gerald,Next Year,,Hill,2021-09-10T08:06:34.028Z
a7e8fd77e7a5bad7004dd8da895920dcb71563f3cc1d413d235d9ecb256933f3,students,1,AA,,541-506-5242,2020-06-10T08:06:34.012Z,alexis.ennis@example.com,girl,016-709-5375,Alexis,Next Year,,Ennis,2021-09-10T08:06:34.012Z
32a5015c45ed6cf3ae959dfdd9768e4959017a770305bbc334879abec719db83,students,0,EE,,0403-459-121,2020-12-10T08:06:34.026Z,ruben.dunn@example.com,boy,08-2565-0669,Ruben,Next Year,,Dunn,2021-09-10T08:06:34.026Z
9d0cad56a7bc56d00668fa2b47d1fe4b349bcc6efb9e8f96499a312965efb046,students,3,DD,,(413)-693-2877,2018-02-10T08:06:34.021Z,antoinetta.bassa@example.com,girl,(299)-820-7186,Antoinetta,Next Year,,Bassa,2021-09-10T08:06:34.021Z
e79cd2cfa97552a4a3a3976697a332d86e725eb152582c59160174074a2a2fbc,students,5,DD,,047-453-22-97,2016-09-10T08:06:34.021Z,ellen.maijala@example.com,girl,03-021-924,Ellen,Next Year,,Maijala,2021-09-10T08:06:34.021Z
613f13276ee7e7a0207f768e1c0ae2105d67bd513b3af206d96199508df50794,students,1,DD,,(967)-627-0298,2020-02-10T08:06:34.025Z,riley.bates@example.com,girl,(441)-436-7680,Riley,Next Year,,Bates,2021-09-10T08:06:34.025Z
1a7454bafc3e1fd0eed01edb6124f84233239c14572e162d3e8de6ea09cb0722,students,1,EE,,(898)-343-2421,2020-04-10T08:06:34.027Z,matilda.anderson@example.com,girl,(533)-655-9348,Matilda,Next Year,,Anderson,2021-09-10T08:06:34.027Z
abb96fb63f2063e33cffc8834113352821da0492d035dfdb01ad57dea9bf1294,students,5,FF,,06-45-09-87-02,2016-05-10T08:06:34.029Z,nils.lefevre@example.com,boy,02-79-98-44-94,Nils,Next Year,,Lefevre,2021-09-10T08:06:34.029Z
df0f3eb7b31142db1ad80ee227d8586684474b2bea420ae694f254bcdeb40e92,students,1,GG,,(685)-680-8693,2020-08-10T08:06:34.032Z,sofia.patel@example.com,girl,(546)-368-2443,Sofia,Next Year,,Patel,2021-09-10T08:06:34.032Z
b7cac3e000fc8e880a1dab4e733d2078d9ae857844f6757cde73a669ad4ed503,students,5,CC,,077 095 49 19,2016-08-10T08:06:34.017Z,oskar.bertrand@example.com,boy,076 316 16 78,Oskar,Next Year,,Bertrand,2021-09-10T08:06:34.017Z
da65c32eff7c11f93a8d85a95d0e6b07be7588510aaea339e672ab6e2dcfb8c7,students,5,LL,,042-647-58-26,2016-03-10T08:06:34.044Z,pihla.jarvela@example.com,girl,08-399-269,Pihla,Next Year,,Jarvela,2021-09-10T08:06:34.044Z
